Year	Month	Days	Jday	Seasons
1979	7	31	182	3
1979	8	31	213	3
1979	9	30	244	4
1979	10	31	274	4
1979	11	30	305	4
1979	12	31	335	1
1980	1	31	1	1
1980	2	29	32	1
1980	3	31	61	2
1980	4	30	92	2
1980	5	31	122	2
1980	6	30	153	3
1980	7	31	183	3
1980	8	31	214	3
1980	9	30	245	4
1980	10	31	275	4
1980	11	30	306	4
1980	12	31	336	1
1981	1	31	1	1
1981	2	28	32	1
1981	3	31	60	2
1981	4	30	91	2
1981	5	31	121	2
1981	6	30	152	3
1981	7	31	182	3
1981	8	31	213	3
1981	9	30	244	4
1981	10	31	274	4
1981	11	30	305	4
1981	12	31	335	1
1982	1	31	1	1
1982	2	28	32	1
1982	3	31	60	2
1982	4	30	91	2
1982	5	31	121	2
1982	6	30	152	3
1982	7	31	182	3
1982	8	31	213	3
1982	9	30	244	4
1982	10	31	274	4
1982	11	30	305	4
1982	12	31	335	1
1983	1	31	1	1
1983	2	28	32	1
1983	3	31	60	2
1983	4	30	91	2
1983	5	31	121	2
1983	6	30	152	3
1983	7	31	182	3
1983	8	31	213	3
1983	9	30	244	4
1983	10	31	274	4
1983	11	30	305	4
1983	12	31	335	1
1984	1	31	1	1
1984	2	29	32	1
1984	3	31	61	2
1984	4	30	92	2
1984	5	31	122	2
1984	6	30	153	3
1984	7	31	183	3
1984	8	31	214	3
1984	9	30	245	4
1984	10	31	275	4
1984	11	30	306	4
1984	12	31	336	1
1985	1	31	1	1
1985	2	28	32	1
1985	3	31	60	2
1985	4	30	91	2
1985	5	31	121	2
1985	6	30	152	3
1985	7	31	182	3
1985	8	31	213	3
1985	9	30	244	4
1985	10	31	274	4
1985	11	30	305	4
1985	12	31	335	1
1986	1	31	1	1
1986	2	28	32	1
1986	3	31	60	2
1986	4	30	91	2
1986	5	31	121	2
1986	6	30	152	3
1986	7	31	182	3
1986	8	31	213	3
1986	9	30	244	4
1986	10	31	274	4
1986	11	30	305	4
1986	12	31	335	1
1987	1	31	1	1
1987	2	28	32	1
1987	3	31	60	2
1987	4	30	91	2
1987	5	31	121	2
1987	6	30	152	3
1987	7	31	182	3
1987	8	31	213	3
1987	9	30	244	4
1987	10	31	274	4
1987	11	30	305	4
1987	12	31	335	1
1988	1	31	1	1
1988	2	29	32	1
1988	3	31	61	2
1988	4	30	92	2
1988	5	31	122	2
1988	6	30	153	3
1988	7	31	183	3
1988	8	31	214	3
1988	9	30	245	4
1988	10	31	275	4
1988	11	30	306	4
1988	12	31	336	1
1989	1	31	1	1
1989	2	28	32	1
1989	3	31	60	2
1989	4	30	91	2
1989	5	31	121	2
1989	6	30	152	3
1989	7	31	182	3
1989	8	31	213	3
1989	9	30	244	4
1989	10	31	274	4
1989	11	30	305	4
1989	12	31	335	1
1990	1	31	1	1
1990	2	28	32	1
1990	3	31	60	2
1990	4	30	91	2
1990	5	31	121	2
1990	6	30	152	3
1990	7	31	182	3
1990	8	31	213	3
1990	9	30	244	4
1990	10	31	274	4
1990	11	30	305	4
1990	12	31	335	1
1991	1	31	1	1
1991	2	28	32	1
1991	3	31	60	2
1991	4	30	91	2
1991	5	31	121	2
1991	6	30	152	3
1991	7	31	182	3
1991	8	31	213	3
1991	9	30	244	4
1991	10	31	274	4
1991	11	30	305	4
1991	12	31	335	1
1992	1	31	1	1
1992	2	29	32	1
1992	3	31	61	2
1992	4	30	92	2
1992	5	31	122	2
1992	6	30	153	3
1992	7	31	183	3
1992	8	31	214	3
1992	9	30	245	4
1992	10	31	275	4
1992	11	30	306	4
1992	12	31	336	1
1993	1	31	1	1
1993	2	28	32	1
1993	3	31	60	2
1993	4	30	91	2
1993	5	31	121	2
1993	6	30	152	3
1993	7	31	182	3
1993	8	31	213	3
1993	9	30	244	4
1993	10	31	274	4
1993	11	30	305	4
1993	12	31	335	1
1994	1	31	1	1
1994	2	28	32	1
1994	3	31	60	2
1994	4	30	91	2
1994	5	31	121	2
1994	6	30	152	3
1994	7	31	182	3
1994	8	31	213	3
1994	9	30	244	4
1994	10	31	274	4
1994	11	30	305	4
1994	12	31	335	1
1995	1	31	1	1
1995	2	28	32	1
1995	3	31	60	2
1995	4	30	91	2
1995	5	31	121	2
1995	6	30	152	3
1995	7	31	182	3
1995	8	31	213	3
1995	9	30	244	4
1995	10	31	274	4
1995	11	30	305	4
1995	12	31	335	1
